Result of replaying eb8dcb3a-c39a-4fe9-b7d0-31f62f0c6979 on Anonymous log imported from log4-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"25|90|187|202|218|247|278|286|289|298|321|339|428|433|450|459|487|495|619|633|636",21,Yes,"91.00","0.00","0.00","9.00","20.00","1.00","1.00","17.00","1.00","9.00","82.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[L/M]w|[L/M]ao|[L/M]t|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree
2,"15|66|70|76|91|99|130|192|212|215|249|322|327|419|421|461|564|568|573|603",20,Yes,"90.00","0.00","2.00","9.00","20.00","1.00","1.00","17.00","1.00","9.00","82.00",[M-INVI]tau split|[L/M]aj|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[L/M]w|[L/M]ao|[L/M]t|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree
3,"42|71|139|156|179|201|227|290|354|363|422|437|454|479|589|651|658",17,Yes,"106.00","0.00","1.00","10.00","21.00","1.00","1.00","18.00","1.00","10.00","95.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]as|[L/M]r|[L/M]t|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree
4,"0|39|89|206|226|264|269|385|434|441|490|557|562|596|616|672|691",17,Yes,"91.00","0.00","13.00","9.00","20.00","1.00","1.00","17.00","1.00","9.00","82.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ak|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[L/M]f|[L/M]au|[L/M]t|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree
5,"20|86|163|231|276|349|366|369|393|400|469|518|569|627|652|656|679",17,Yes,"91.00","0.00","0.00","9.00","20.00","1.00","1.00","17.00","1.00","9.00","82.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[L/M]f|[L/M]au|[L/M]t|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree
6,"82|124|154|169|204|217|263|324|333|377|403|473|556|567|605|626|682",17,Yes,"91.00","0.00","0.00","9.00","20.00","1.00","1.00","17.00","1.00","9.00","82.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[L/M]f|[L/M]au|[L/M]t|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree
7,"127|131|137|150|157|213|233|280|305|314|336|376|493|532|617|657|661",17,Yes,"90.00","0.00","0.00","9.00","20.00","1.00","1.00","17.00","1.00","9.00","82.00",[M-INVI]tau split|[L/M]aj|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[L/M]f|[L/M]au|[L/M]t|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree
8,"36|52|62|125|160|178|191|293|307|381|470|511|578|600|648|681",16,Yes,"106.00","0.00","0.00","10.00","21.00","1.00","1.00","18.00","1.00","10.00","95.00",[M-INVI]tau split|[L/M]a|[L/M]aj|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]as|[L/M]r|[L/M]t|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree
9,"1|83|107|211|234|240|251|279|382|383|404|427|542|594|641|699",16,Yes,"90.00","0.00","2.00","9.00","20.00","1.00","1.00","17.00","1.00","9.00","82.00",[M-INVI]tau split|[L/M]aj|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]am|[L/M]c|[M-INVI]tau join|[M-INVI]tau split|[L/M]f|[L/M]au|[L/M]t|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree
10,"7|12|30|47|148|168|189|205|252|260|440|455|497|520|615",15,Yes,"105.00","0.00","2.00","10.00","21.00","1.00","1.00","18.00","1.00","10.00","95.00",[M-INVI]tau split|[L/M]aj|[L/M]a|[M-INVI]tau join|[M-INVI]tau split|[L/M]ak|[L/M]v|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]am|[M-INVI]tau join|[M-INVI]tau split|[L/M]c|[L/M]as|[L/M]r|[L/M]t|[M-INVI]tau join|[M-INVI]tau from tree|[M-INVI]tau from tree
